team_customer_relationship,team_communication,assumption,failed_documentation,role,industry,common_problem,country,team_size,project_distribution,work,project_method,meeting_frequency,user_feedback_frequency,external_partners,top2,top3,top4,top5,requirements_elicitation,elicitation_techniques,explicit_distinction,requirements_documentation,no_documentation_reasons,non_functional_requirements,communication_with_other_teams,doc_willing,doc_unwilling_but_produce,doc_dont_produce,requirements_testing_alignment
4,4,Make a reasonable assumption myself and proceed.,Yes,Architect,Public sector,Communication flaws within the project team,Italy,20,Yes,Approximately half on-site and half from home,Agile,Almost daily,Almost daily,Yes,Changes in requirements not communicated,Communication flaws between the project and the customer,Insufficient support by project lead,Underspecified requirements that are too abstract and allow for various interpretations,Agile: we elicit and / or refine requirements in several iterations.,Prototyping/ Workshops and focus groups/ Experimentation with users,Architectural constraints/ Development process aspects/ Goals/ System behaviour,Class diagrams/ Use case diagrams/ Use cases,I didn't need to document it. I know it.,Compatibility (e.g.- co-existence- interoperability)/ Performance efficiency (e.g.- time behaviour- resource utilisation- capacity)/ Safety (e.g.- freedom of risk for health or disaster),3,Agree,Neutral,0,We check the coverage of requirements with tests/ We define acceptance criteria and tests for requirements
4,4,Make a reasonable assumption myself and proceed.,Yes,Other (please specify),Security,We do not have enough time to carry out tasks,United States,10,No,Almost completely on-site,Hybrid,Almost daily,Monthly,No,Communication channels used in our project are ineffective,Lack of communication between project team and end users,No use of standard format for documenting requirements,Communication flaws within the project team,Agile: we elicit and / or refine requirements in several iterations.,Prototyping/ Observations/ Experimentation with users,Development process aspects/ Formal properties of the system/ Functional properties of the system/ Goals/ Technical interfaces,Natural language / plain text/ Prototypes / user screens/ Use cases/ Informal sketches / wireframes / mind maps,,Maintainability (e.g.- analysability- modularity- modifiability- reusability- testability)/ Security (e.g.- accountability- authenticity- confidentiality- integrity- non-repudiation),3,Agree,Agree,Disagree,Testers participate in requirements reviews
4,4,Ask the customer/end user/or both what should be assumed before proceeding.,Yes,Developer,Public sector,Incomplete or hidden requirements,Italy,4,No,Almost completely from home,Hybrid,Weekly,Almost daily,No,Communication flaws within the project team,Changes in requirements not communicated,We do not have enough time to carry out tasks,Our team's responsibilities are unclear,Agile: we elicit and / or refine requirements in several iterations.,Interviews/ Prototyping/ Experimentation with users,Functional properties of the system/ Goals/ System behaviour/ Technical interfaces/ User interface(s),Activity diagrams/ Informal sketches / wireframes / mind maps,My project lead told me not to bother.,Maintainability (e.g.- analysability- modularity- modifiability- reusability- testability)/ Performance efficiency (e.g.- time behaviour- resource utilisation- capacity)/ Usability (e.g.- accessibility- appropriateness recognizability- learnability- operability- user error protection- UI aesthetics),4,Agree,Strongly agree,Disagree,I don't know
3,4,Ask the customer/end user/or both what should be assumed before proceeding.,No,Project Lead / Project Manager,Education,Underspecified requirements that are too abstract and allow for various interpretations,Italy,10,Yes,Approximately half on-site and half from home,Hybrid,Almost daily,Weekly,Yes,Incomplete or hidden requirements,Changes in requirements not communicated,Targets are moving,Weak access to customer needs and / or (internal) business information,Agile: we elicit and / or refine requirements in several iterations.,Interviews/ Risk analyses/ Design Thinking/ Observations/ Experimentation with users,Architectural constraints/ Functional properties of the system/ Rules , business rules)/ Stakeholders/ System behaviour/ Technical interfaces/ Usage scenarios/ Internal or external constraints (e.g. laws),My project lead told me not to spend any time on documentation.,Compatibility (e.g.- co-existence- interoperability)/ Performance efficiency (e.g.- time behaviour- resource utilisation- capacity)/ Security (e.g.- accountability- authenticity- confidentiality- integrity- non-repudiation)/ External or internal constraints (e.g.- laws),4,Strongly agree,Agree,Strongly disagree,Testers participate in requirements reviews/ We check the coverage of requirements with tests
5,5,Ask the customer/end user/or both what should be assumed before proceeding.,No,Developer,Public sector,Incomplete or hidden requirements,Italy,8,Yes,Mostly on-site,Hybrid,Almost daily,Other (please specify),Yes,Requirements are not traceable,Targets are moving,Changes in requirements not communicated,Underspecified requirements that are too abstract and allow for various interpretations,Waterfall: we elicit and / or refine requirements in a specifically dedicated project phase before proceeding to the next project phase.,Interviews/ Analysis of existing documents/ Observations,Functional properties of the system/ Rules , business rules)/ Usage scenarios,,Compatibility (e.g.- co-existence- interoperability)/ Portability (e.g.- adaptability- installability- replaceability)/ Safety (e.g.- freedom of risk for health or disaster)/ Security (e.g.- accountability- authenticity- confidentiality- integrity- non-repudiation),4,Strongly agree,Disagree,Strongly disagree,Testers participate in requirements reviews/ We check the coverage of requirements with tests/ We define acceptance criteria and tests for requirements
3,3,Make a reasonable assumption myself and proceed.,Yes,Developer,Enterprise resource planning,No use of standard format for documenting requirements,United States,15,Yes,Almost completely from home,Agile,Weekly,I don't know,Yes,Requirements are not traceable,Communication channels used in our project are ineffective,Targets are moving,Problems with terminology,Agile: we elicit and / or refine requirements in several iterations.,Analysis of existing documents/ Prototyping/ (Requirements) Reuse databases and guidelines/ External experts/ Observations/ Usage data analysis (e.g. event logs)/ Experimentation with users,Development process aspects/ Formal properties of the system/ Functional properties of the system/ Goals/ Rules , business rules)/ System behaviour/ Technical interfaces/ Usage scenarios/ User interface(s)/ Internal or external constraints (e.g. laws)/ Acceptance criteria,My colleagues told me not to waste any (more) time on documentation.,Maintainability (e.g.- analysability- modularity- modifiability- reusability- testability)/ Performance efficiency (e.g.- time behaviour- resource utilisation- capacity)/ Reliability (e.g.- availability- fault tolerance- maturity- recoverability)/ Security (e.g.- accountability- authenticity- confidentiality- integrity- non-repudiation)/ Usability (e.g.- accessibility- appropriateness recognizability- learnability- operability- user error protection- UI aesthetics)/ External or internal constraints (e.g.- laws),4,Strongly agree,Agree,Agree,Testers participate in requirements reviews/ We check the coverage of requirements with tests/ We define acceptance criteria and tests for requirements/ We derive tests from system models
4,4,Ask the customer/end user/or both what should be assumed before proceeding.,Yes,Scrum Master,Finance,Communication flaws between the project and the customer,Italy,30,Yes,Approximately half on-site and half from home,Hybrid,Almost daily,Weekly,Yes,Incomplete or hidden requirements,Weak access to customer needs and / or (internal) business information,Unclear or unmeasurable non-functional requirements,Changes in requirements not communicated,Agile: we elicit and / or refine requirements in several iterations.,Interviews/ Prototyping/ (Requirements) Reuse databases and guidelines/ Design Thinking/ External experts/ Usage data analysis (e.g. event logs)/ Lean Startup,Architectural constraints/ Formal properties of the system/ Functional properties of the system/ Goals/ Quality properties of the system/ Rules , business rules)/ Stakeholders/ System behaviour/ Technical interfaces/ Usage scenarios/ User interface(s)/ Internal or external constraints (e.g. laws)/ Acceptance criteria,My colleagues told me not to waste any (more) time on documentation.,Compatibility (e.g.- co-existence- interoperability)/ Maintainability (e.g.- analysability- modularity- modifiability- reusability- testability)/ Performance efficiency (e.g.- time behaviour- resource utilisation- capacity)/ Portability (e.g.- adaptability- installability- replaceability)/ Reliability (e.g.- availability- fault tolerance- maturity- recoverability)/ Safety (e.g.- freedom of risk for health or disaster)/ Security (e.g.- accountability- authenticity- confidentiality- integrity- non-repudiation)/ Usability (e.g.- accessibility- appropriateness recognizability- learnability- operability- user error protection- UI aesthetics)/ External or internal constraints (e.g.- laws),3,Disagree,Agree,Disagree,Testers participate in requirements reviews/ We check the coverage of requirements with tests/ We define acceptance criteria and tests for requirements/ We derive tests from system models
3,3,Make a reasonable assumption myself and proceed.,Yes,Requirements Engineer,Avionics,Communication flaws within the project team,Italy,4,Yes,Mostly on-site,Plan-driven,Weekly,I don't know,Yes,Technically unfeasible requirements,Lack of trust between our project team members and stakeholder or customer,Our requirements engineers lack enthusiasm or commitment to do requirements analysis,No use of standard format for documenting requirements,Waterfall: we elicit and / or refine requirements in a specifically dedicated project phase before proceeding to the next project phase.,Analysis of existing documents/ Design Thinking,Development process aspects/ Formal properties of the system/ Rules , business rules),My project lead told me not to spend any time on documentation.,Performance efficiency (e.g.- time behaviour- resource utilisation- capacity)/ Safety (e.g.- freedom of risk for health or disaster),3,Strongly disagree,Neutral,Neutral,Testers participate in requirements reviews/ We define acceptance criteria and tests for requirements
4,4,Ask the customer/end user/or both what should be assumed before proceeding.,No,Project Lead / Project Manager,Insurance,Lack of commitment to shared goals within project,Norway,6,Yes,Approximately half on-site and half from home,Rather agile,Almost daily,Other (please specify),Yes,Insufficient support by project lead,Lack of trust between our project team members and stakeholder or customer,Communication flaws between the project and the customer,Language barriers,Agile: we elicit and / or refine requirements in several iterations.,Interviews/ Prototyping/ Workshops and focus groups/ Design Thinking/ External experts,Architectural constraints/ Development process aspects/ Functional properties of the system/ Goals/ Rules , business rules)/ System behaviour/ Technical interfaces/ Usage scenarios/ User interface(s),,Maintainability (e.g.- analysability- modularity- modifiability- reusability- testability)/ Usability (e.g.- accessibility- appropriateness recognizability- learnability- operability- user error protection- UI aesthetics),4,Agree,Neutral,Disagree,Testers participate in requirements reviews/ We check the coverage of requirements with tests/ We define acceptance criteria and tests for requirements
4,5,Ask the customer/end user/or both what should be assumed before proceeding.,Yes,Architect,Energy,Changes in requirements not communicated,Italy,4,Yes,Approximately half on-site and half from home,Agile,Bi-weekly,Weekly,Yes,Targets are moving,Lack of communication between project team and end users,Weak access to customer needs and / or (internal) business information,Communication flaws within the project team,Agile: we elicit and / or refine requirements in several iterations.,Interviews/ Prototyping/ Observations/ Experimentation with users,Architectural constraints/ Functional properties of the system/ Goals/ Stakeholders/ Technical interfaces/ Usage scenarios,Activity diagrams/ Class diagrams/ Natural language / plain text/ Prototypes / user screens/ Sequence diagrams/ Use case diagrams/ Use cases,,Compatibility (e.g.- co-existence- interoperability)/ Maintainability (e.g.- analysability- modularity- modifiability- reusability- testability)/ Performance efficiency (e.g.- time behaviour- resource utilisation- capacity)/ External or internal constraints (e.g.- laws),1,Agree,Disagree,Strongly disagree,We check the coverage of requirements with tests
4,4,Ask the customer/end user/or both what should be assumed before proceeding.,Yes,Developer,Manufacturing,We do not have enough time to carry out tasks,United States,7,Yes,Almost completely from home,Agile,Weekly,Weekly,Yes,Targets are moving,Incomplete or hidden requirements,Communication flaws within the project team,No use of standard format for documenting requirements,Agile: we elicit and / or refine requirements in several iterations.,Prototyping/ Workshops and focus groups/ Design Thinking/ Usage data analysis (e.g. event logs)/ Experimentation with users,Architectural constraints/ System behaviour/ Usage scenarios/ User interface(s),Prototypes / user screens/ Use cases/ Acceptance Criteria (Given-When-Then),I didn't need to document it. I know it.,Reliability (e.g.- availability- fault tolerance- maturity- recoverability)/ Usability (e.g.- accessibility- appropriateness recognizability- learnability- operability- user error protection- UI aesthetics),4,Agree,Strongly agree,Neutral,We check the coverage of requirements with tests/ We define acceptance criteria and tests for requirements/ We derive tests from system models
4,4,Make a reasonable assumption myself and proceed.,No,Product Manager,Agriculture,Inconsistent requirements,Canada,5,Yes,Almost completely from home,Rather agile,Almost daily,Monthly,Yes,Weak knowledge about customer's application domain,Lack of communication between project team and end users,Targets are moving,Please make a selection,Agile: we elicit and / or refine requirements in several iterations.,Interviews/ Analysis of existing documents/ Prototyping/ Workshops and focus groups,Functional properties of the system/ Goals/ Rules , business rules)/ System behaviour/ Technical interfaces/ User interface(s)/ Acceptance criteria/ None of the above,I didn't need to document it. I know it.,Performance efficiency (e.g.- time behaviour- resource utilisation- capacity)/ Security (e.g.- accountability- authenticity- confidentiality- integrity- non-repudiation)/ Usability (e.g.- accessibility- appropriateness recognizability- learnability- operability- user error protection- UI aesthetics)/ External or internal constraints (e.g.- laws),1,Agree,Neutral,Disagree,We check the coverage of requirements with tests/ We define acceptance criteria and tests for requirements
4,4,Ask the customer/end user/or both what should be assumed before proceeding.,Yes,Developer,Healthcare,Inconsistent requirements,Italy,3,Yes,Mostly from home,Agile,Almost daily,Weekly,Yes,Requirements are not traceable,Weak knowledge about customer's application domain,No use of standard format for documenting requirements,Targets are moving,Agile: we elicit and / or refine requirements in several iterations.,Design Thinking,Development process aspects/ Goals/ Quality properties of the system/ Stakeholders/ Technical interfaces/ User interface(s)/ Acceptance criteria,Business process models/ Sequence diagrams/ Use cases/ Acceptance Criteria (Given-When-Then),,Maintainability (e.g.- analysability- modularity- modifiability- reusability- testability)/ Reliability (e.g.- availability- fault tolerance- maturity- recoverability)/ Safety (e.g.- freedom of risk for health or disaster)/ Security (e.g.- accountability- authenticity- confidentiality- integrity- non-repudiation)/ Usability (e.g.- accessibility- appropriateness recognizability- learnability- operability- user error protection- UI aesthetics),3,Agree,Disagree,Strongly disagree,Testers participate in requirements reviews/ We check the coverage of requirements with tests
4,4,Ask the customer/end user/or both what should be assumed before proceeding.,No,Requirements Engineer,Education,Incomplete or hidden requirements,United States,30,No,Approximately half on-site and half from home,Hybrid,Weekly,Monthly,No,Targets are moving,Technically unfeasible requirements,Weak knowledge about customer's application domain,Insufficient support by project lead,Waterfall: we elicit and / or refine requirements in a specifically dedicated project phase before proceeding to the next project phase.,Design Thinking,Architectural constraints/ Technical interfaces/ Usage scenarios,Sequence diagrams/ State machines/ Use case diagrams,My colleagues told me not to spend any time on documentation.,Performance efficiency (e.g.- time behaviour- resource utilisation- capacity),4,Strongly agree,Agree,Disagree,Testers participate in requirements reviews/ We check the coverage of requirements with tests/ We define acceptance criteria and tests for requirements/ We derive tests from system models/ We do not align tests and requirements
5,5,Ask the customer/end user/or both what should be assumed before proceeding.,No,Architect,Other (please specify),Incomplete or hidden requirements,United States,10,No,Approximately half on-site and half from home,Hybrid,Weekly,I don't know,No,Lack of trust between our project team members and stakeholder or customer,Weak knowledge about customer's application domain,Our team's responsibilities are unclear,Weak access to customer needs and / or (internal) business information,Agile: we elicit and / or refine requirements in several iterations.,Analysis of existing documents/ Risk analyses/ Prototyping/ Workshops and focus groups/ (Requirements) Reuse databases and guidelines/ Design Thinking/ External experts/ Observations/ Usage data analysis (e.g. event logs),Architectural constraints/ Development process aspects/ Formal properties of the system/ Functional properties of the system/ Goals/ Quality properties of the system/ Rules , business rules)/ System behaviour/ Technical interfaces/ Usage scenarios/ User interface(s)/ Internal or external constraints (e.g. laws)/ Acceptance criteria,,Compatibility (e.g.- co-existence- interoperability)/ Maintainability (e.g.- analysability- modularity- modifiability- reusability- testability)/ Performance efficiency (e.g.- time behaviour- resource utilisation- capacity)/ Portability (e.g.- adaptability- installability- replaceability)/ Reliability (e.g.- availability- fault tolerance- maturity- recoverability)/ Safety (e.g.- freedom of risk for health or disaster)/ Security (e.g.- accountability- authenticity- confidentiality- integrity- non-repudiation)/ Usability (e.g.- accessibility- appropriateness recognizability- learnability- operability- user error protection- UI aesthetics)/ External or internal constraints (e.g.- laws),2,Strongly agree,Strongly agree,Strongly disagree,Testers participate in requirements reviews/ We check the coverage of requirements with tests/ We define acceptance criteria and tests for requirements/ We derive tests from system models
4,4,Ask the customer/end user/or both what should be assumed before proceeding.,No,Project Lead / Project Manager,Security,Targets are moving,United States,8,No,Approximately half on-site and half from home,Agile,Almost daily,Bi-weekly,No,Inconsistent requirements,We do not have enough time to carry out tasks,No use of standard format for documenting requirements,Internal or external constraints are not considered,Waterfall: we elicit and / or refine requirements in a specifically dedicated project phase before proceeding to the next project phase.,Interviews/ Analysis of existing documents/ Prototyping/ (Requirements) Reuse databases and guidelines,Development process aspects/ Functional properties of the system/ Goals/ Rules , business rules)/ Stakeholders/ System behaviour/ Technical interfaces/ Usage scenarios/ User interface(s),My project lead told me not to spend any time on documentation./ My project lead told me not to waste any (more) time on documentation.,Maintainability (e.g.- analysability- modularity- modifiability- reusability- testability)/ Portability (e.g.- adaptability- installability- replaceability)/ Reliability (e.g.- availability- fault tolerance- maturity- recoverability)/ Security (e.g.- accountability- authenticity- confidentiality- integrity- non-repudiation),3,Agree,Agree,Disagree,We check the coverage of requirements with tests/ We derive tests from system models
5,5,Ask the customer/end user/or both what should be assumed before proceeding.,Yes,Developer,e-Government,Incomplete or hidden requirements,United States,20,Yes,Other (Please specify),Plan-driven,Weekly,Weekly,Yes,Underspecified requirements that are too abstract and allow for various interpretations,No use of standard format for documenting requirements,Inconsistent requirements,Requirements are not traceable,Waterfall: we elicit and / or refine requirements in a specifically dedicated project phase before proceeding to the next project phase., Other (please specify),Interviews/ Analysis of existing documents/ Prototyping/ Design Thinking/ Observations,Rules ,,Maintainability (e.g.- analysability- modularity- modifiability- reusability- testability)/ Reliability (e.g.- availability- fault tolerance- maturity- recoverability)/ Safety (e.g.- freedom of risk for health or disaster)/ Security (e.g.- accountability- authenticity- confidentiality- integrity- non-repudiation)/ Usability (e.g.- accessibility- appropriateness recognizability- learnability- operability- user error protection- UI aesthetics)/ External or internal constraints (e.g.- laws),4,Strongly agree,Agree,Disagree,Testers participate in requirements reviews/ We check the coverage of requirements with tests/ We define acceptance criteria and tests for requirements/ Other (please specify)
4,3,Ask the customer/end user/or both what should be assumed before proceeding.,Yes,Product Manager,Enterprise resource planning,Communication flaws between the project and the customer,Canada,15,Yes,Mostly from home,Hybrid,Weekly,Monthly,Yes,Insufficient support by project lead,An important stakeholder is not represented in our project,Underspecified requirements that are too abstract and allow for various interpretations,Unclear or unmeasurable non-functional requirements,Agile: we elicit and / or refine requirements in several iterations.,Interviews/ Prototyping/ Workshops and focus groups/ Observations,Formal properties of the system/ Functional properties of the system/ User interface(s),Natural language / plain text/ Structured lists of requirements/ Use case diagrams,I didn't need to document it. I know it./ I knew colleagues would complain or hate or ridicule me.,Security (e.g.- accountability- authenticity- confidentiality- integrity- non-repudiation)/ Usability (e.g.- accessibility- appropriateness recognizability- learnability- operability- user error protection- UI aesthetics),3,Agree,Agree,Disagree,We check the coverage of requirements with tests/ Other (please specify)
2,4,Ask the customer/end user/or both what should be assumed before proceeding.,Yes,Developer,e-Commerce,Communication flaws within the project team,United States,5,No,Approximately half on-site and half from home,Hybrid,Almost daily,Monthly,No,Lack of communication between project team and end users,Changes in requirements not communicated,Inconsistent requirements,Requirements are not traceable,Agile: we elicit and / or refine requirements in several iterations.,I don't know,Architectural constraints/ Development process aspects/ Formal properties of the system/ Functional properties of the system/ Goals/ Quality properties of the system/ Rules , business rules)/ Stakeholders/ Acceptance criteria,My project lead told me not to spend any time on documentation.,Performance efficiency (e.g.- time behaviour- resource utilisation- capacity),4,Agree,Agree,Disagree,We define acceptance criteria and tests for requirements
5,5,Ask the customer/end user/or both what should be assumed before proceeding.,Yes,Architect,Healthcare,Incomplete or hidden requirements,Spain,10,No,Almost completely on-site,Agile,Weekly,Monthly,No,Unclear or unmeasurable non-functional requirements,Technically unfeasible requirements,Underspecified requirements that are too abstract and allow for various interpretations,Weak knowledge about customer's application domain,Agile: we elicit and / or refine requirements in several iterations.,Risk analyses,Functional properties of the system/ Goals,Activity diagrams/ Natural language / plain text/ Use cases,I didn't need to document it. I know it.,Performance efficiency (e.g.- time behaviour- resource utilisation- capacity)/ Reliability (e.g.- availability- fault tolerance- maturity- recoverability)/ Safety (e.g.- freedom of risk for health or disaster)/ Security (e.g.- accountability- authenticity- confidentiality- integrity- non-repudiation)/ Usability (e.g.- accessibility- appropriateness recognizability- learnability- operability- user error protection- UI aesthetics),4,Neutral,Neutral,Neutral,Testers participate in requirements reviews/ We define acceptance criteria and tests for requirements
4,4,Ask the customer/end user/or both what should be assumed before proceeding.,Yes,Architect,Aerospace,Communication flaws between the project and the customer,Spain,100,No,Mostly on-site,Agile,Almost daily,Almost daily,No,Lack of communication between project team and end users,Communication channels used in our project are ineffective,Targets are moving,Underspecified requirements that are too abstract and allow for various interpretations,Agile: we elicit and / or refine requirements in several iterations.,Interviews/ Prototyping,Architectural constraints/ Goals/ Rules , business rules)/ Stakeholders/ Usage scenarios/ Acceptance criteria,My project lead told me not to bother.,Compatibility (e.g.- co-existence- interoperability)/ Maintainability (e.g.- analysability- modularity- modifiability- reusability- testability)/ Performance efficiency (e.g.- time behaviour- resource utilisation- capacity)/ Portability (e.g.- adaptability- installability- replaceability)/ Reliability (e.g.- availability- fault tolerance- maturity- recoverability)/ Safety (e.g.- freedom of risk for health or disaster)/ Security (e.g.- accountability- authenticity- confidentiality- integrity- non-repudiation)/ Usability (e.g.- accessibility- appropriateness recognizability- learnability- operability- user error protection- UI aesthetics)/ External or internal constraints (e.g.- laws),4,Strongly agree,Strongly agree,Strongly disagree,Testers participate in requirements reviews/ We check the coverage of requirements with tests/ We define acceptance criteria and tests for requirements
4,5,Make a reasonable assumption myself and proceed.,No,Developer,Avionics,Lack of communication between project team and end users,Spain,2,I don't know,Mostly from home,Hybrid,Weekly,I don't know,I don't know,Communication flaws between the project and the customer,Communication flaws within the project team,Insufficient support by project lead,We do not have enough time to carry out tasks,I don't know,I don't know,Formal properties of the system/ Functional properties of the system/ Goals/ System behaviour,Structured lists of requirements,I didn't need to document it. I know it.,,4,Agree,Neutral,Strongly disagree,I don't know
5,4,Ask the customer/end user/or both what should be assumed before proceeding.,Yes,Business Analyst,Logistics,Weak access to customer needs and / or (internal) business information,Germany,6,Yes,Mostly from home,Rather agile,Almost daily,Other (please specify),Yes,Unclear or unmeasurable non-functional requirements,Targets are moving,Lack of communication between project team and end users,Please make a selection,Agile: we elicit and / or refine requirements in several iterations.,Interviews/ Analysis of existing documents/ Prototyping/ Workshops and focus groups/ (Requirements) Reuse databases and guidelines/ Observations,Architectural constraints/ Development process aspects/ Functional properties of the system/ Goals/ Rules , business rules)/ System behaviour/ Technical interfaces/ Usage scenarios/ User interface(s)/ Acceptance criteria,I didn't need to document it. I know it.,Usability (e.g.- accessibility- appropriateness recognizability- learnability- operability- user error protection- UI aesthetics),2,Agree,Strongly agree,Disagree,Testers participate in requirements reviews/ We define acceptance criteria and tests for requirements
5,5,Ask the customer/end user/or both what should be assumed before proceeding.,No,Architect,Other (please specify),Our requirements engineers lack enthusiasm or commitment to do requirements analysis,Estonia,66,No,Almost completely on-site,Rather agile,Almost daily,Bi-weekly,No,Lack of communication between project team and end users,Incomplete or hidden requirements,Changes in requirements not communicated,Targets are moving,Agile: we elicit and / or refine requirements in several iterations.,Interviews/ Prototyping/ Workshops and focus groups,Architectural constraints/ Goals/ Rules , business rules)/ System behaviour/ User interface(s)/ Acceptance criteria,I knew colleagues would complain or hate or ridicule me./ My colleagues told me not to bother.,Performance efficiency (e.g.- time behaviour- resource utilisation- capacity)/ Portability (e.g.- adaptability- installability- replaceability)/ Security (e.g.- accountability- authenticity- confidentiality- integrity- non-repudiation)/ External or internal constraints (e.g.- laws),2,Agree,Agree,Neutral,Testers participate in requirements reviews/ We check the coverage of requirements with tests/ We define acceptance criteria and tests for requirements
3,4,Ask the customer/end user/or both what should be assumed before proceeding.,Yes,Architect,Other (please specify),Incomplete or hidden requirements,Turkey,6,Yes,Mostly from home,Hybrid,Weekly,Weekly,Yes,Inconsistent requirements,Targets are moving,Weak knowledge about customer's application domain,Technically unfeasible requirements,Agile: we elicit and / or refine requirements in several iterations.,Prototyping/ Usage data analysis (e.g. event logs)/ Lean Startup/ Experimentation with users,Architectural constraints/ Functional properties of the system/ Rules , business rules)/ System behaviour/ Technical interfaces/ Usage scenarios/ User interface(s)/ Internal or external constraints (e.g. laws),,Performance efficiency (e.g.- time behaviour- resource utilisation- capacity)/ Reliability (e.g.- availability- fault tolerance- maturity- recoverability),3,Agree,Strongly agree,Disagree,We define acceptance criteria and tests for requirements
4,5,Ask the customer/end user/or both what should be assumed before proceeding.,Yes,Business Analyst,Logistics,Weak access to customer needs and / or (internal) business information,United States,10,No,Almost completely on-site,Rather plan-driven,Weekly,Weekly,No,Targets are moving ,Technically unfeasible requirements,Internal or external constraints are not considered,Lack of communication between project team and end users,Agile: we elicit and / or refine requirements in several iterations.,Interviews/ Analysis of existing documents/ Prototyping/ Observations/ Experimentation with users,Formal properties of the system/ Functional properties of the system/ Goals/ Quality properties of the system/ Stakeholders/ System behaviour/ Usage scenarios/ User interface(s)/ Acceptance criteria,Goal models/ Natural language / plain text/ Structured lists of requirements/ Informal sketches / wireframes / mind maps,My project lead told me not to waste any (more) time on documentation.,Compatibility (e.g.- co-existence- interoperability)/ Maintainability (e.g.- analysability- modularity- modifiability- reusability- testability)/ Performance efficiency (e.g.- time behaviour- resource utilisation- capacity)/ Reliability (e.g.- availability- fault tolerance- maturity- recoverability)/ Usability (e.g.- accessibility- appropriateness recognizability- learnability- operability- user error protection- UI aesthetics),3,Neutral,Neutral,Neutral,Testers participate in requirements reviews/ We check the coverage of requirements with tests/ We define acceptance criteria and tests for requirements
4,4,Ask the customer/end user/or both what should be assumed before proceeding.,No,Developer,Education,Lack of communication between project team and end users,United States,5,Yes,Mostly on-site,Agile,Weekly,Weekly,Yes,Changes in requirements not communicated,Inconsistent requirements,We do not have enough time to carry out tasks,Lack of commitment to shared goals within project,Agile: we elicit and / or refine requirements in several iterations.,Interviews/ Analysis of existing documents/ Risk analyses/ Prototyping/ Design Thinking/ Lean Startup,Architectural constraints/ Development process aspects/ Formal properties of the system/ Functional properties of the system/ Goals/ Quality properties of the system/ Rules , business rules)/ Stakeholders/ System behaviour/ Technical interfaces/ Usage scenarios/ User interface(s)/ Internal or external constraints (e.g. laws)/ Acceptance criteria,My project lead told me not to spend any time on documentation./ My colleagues told me not to waste any (more) time on documentation.,Compatibility (e.g.- co-existence- interoperability)/ Maintainability (e.g.- analysability- modularity- modifiability- reusability- testability)/ Performance efficiency (e.g.- time behaviour- resource utilisation- capacity)/ Portability (e.g.- adaptability- installability- replaceability)/ Reliability (e.g.- availability- fault tolerance- maturity- recoverability)/ Safety (e.g.- freedom of risk for health or disaster)/ Security (e.g.- accountability- authenticity- confidentiality- integrity- non-repudiation)/ Usability (e.g.- accessibility- appropriateness recognizability- learnability- operability- user error protection- UI aesthetics)/ External or internal constraints (e.g.- laws),3,Agree,Agree,Neutral,We define acceptance criteria and tests for requirements/ We derive tests from system models
5,4,Ask the customer/end user/or both what should be assumed before proceeding.,Yes,Developer,Education,Communication flaws between the project and the customer,United States,5,No,Approximately half on-site and half from home,Agile,Almost daily,Weekly,No,Inconsistent requirements,Changes in requirements not communicated,Weak knowledge about customer's application domain,Targets are moving,Agile: we elicit and / or refine requirements in several iterations.,Analysis of existing documents/ Risk analyses/ (Requirements) Reuse databases and guidelines/ Design Thinking/ Observations,Architectural constraints/ Development process aspects/ Formal properties of the system/ Functional properties of the system/ Goals/ Quality properties of the system/ Stakeholders/ System behaviour/ Technical interfaces/ Usage scenarios/ User interface(s)/ Internal or external constraints  laws)/ Acceptance criteria,Use case diagrams/ Use cases/ User stories/ Acceptance Criteria (Given-When-Then),My project lead told me not to bother./ My project lead told me not to spend any time on documentation./ My project lead told me not to waste any (more) time on documentation.,Compatibility (e.g.- co-existence- interoperability)/ Maintainability (e.g.- analysability- modularity- modifiability- reusability- testability)/ Performance efficiency (e.g.- time behaviour- resource utilisation- capacity)/ Portability (e.g.- adaptability- installability- replaceability)/ Reliability (e.g.- availability- fault tolerance- maturity- recoverability)/ Safety (e.g.- freedom of risk for health or disaster)/ Security (e.g.- accountability- authenticity- confidentiality- integrity- non-repudiation)/ Usability (e.g.- accessibility- appropriateness recognizability- learnability- operability- user error protection- UI aesthetics)/ External or internal constraints (e.g.- laws),4,Agree,Agree,Neutral,We check the coverage of requirements with tests/ We define acceptance criteria and tests for requirements/ We derive tests from system models
5,5,Make a reasonable assumption myself and proceed.,Yes,Business Analyst,Enterprise resource planning,Communication flaws between the project and the customer,United Kingdom,7,No,Mostly from home,Agile,Bi-weekly,Weekly,No,Lack of communication between project team and end users,Targets are moving,Lack of commitment to shared goals within project,Unclear or unmeasurable non-functional requirements,Agile: we elicit and / or refine requirements in several iterations.,Prototyping/ Workshops and focus groups/ Experimentation with users,Architectural constraints/ Goals/ Stakeholders/ Internal or external constraints  laws)/ Acceptance criteria,User stories/ Acceptance Criteria (Given-When-Then),I didn't need to document it. I know it./ I knew colleagues would complain or hate or ridicule me.,Compatibility (e.g.- co-existence- interoperability)/ Portability (e.g.- adaptability- installability- replaceability)/ Security (e.g.- accountability- authenticity- confidentiality- integrity- non-repudiation),2,Agree,Agree,Disagree,We check the coverage of requirements with tests
