team_customer_relationship,team_communication,assumption,failed_documentation,role,industry,common_problem,country,team_size,project_distribution,work,project_method,meeting_frequency,user_feedback_frequency,external_partners,top2,top3,top4,top5,requirements_elicitation,elicitation_techniques,explicit_distinction,requirements_documentation,no_documentation_reasons,non_functional_requirements
3,4,Ask the customer/end user/or both what should be assumed before proceeding.,Yes,Architect,Other (please specify),Incomplete or hidden requirements,Turkey,6,Yes,Mostly from home,Hybrid,Weekly,Weekly,Yes,Inconsistent requirements,Targets are moving,Weak knowledge about customer's application domain,Technically unfeasible requirements,Agile: we elicit and / or refine requirements in several iterations.,Prototyping/ Usage data analysis (e.g. event logs)/ Lean Startup/ Experimentation with users,Architectural constraints/ Functional properties of the system/ Rules , business rules)/ System behaviour/ Technical interfaces/ Usage scenarios/ User interface(s)/ Internal or external constraints (e.g. laws),Natural language / plain text/ Prototypes / user screens/ Sequence diagrams/ Structured lists of requirements/ Use case diagrams/ Use cases/ User stories,
4,5,Ask the customer/end user/or both what should be assumed before proceeding.,Yes,Business Analyst,Logistics,Weak access to customer needs and / or (internal) business information,United States,10,No,Almost completely on-site,Rather plan-driven,Weekly,Weekly,No,Targets are moving ,Technically unfeasible requirements,Internal or external constraints are not considered,Lack of communication between project team and end users,Agile: we elicit and / or refine requirements in several iterations.,Interviews/ Analysis of existing documents/ Prototyping/ Observations/ Experimentation with users,Formal properties of the system/ Functional properties of the system/ Goals/ Quality properties of the system/ Stakeholders/ System behaviour/ Usage scenarios/ User interface(s)/ Acceptance criteria,Goal models/ Natural language / plain text/ Structured lists of requirements/ Informal sketches / wireframes / mind maps,My project lead told me not to waste any (more) time on documentation.,Compatibility/ Maintainability/ Performance efficiency/ Reliability/ Usability
4,4,Ask the customer/end user/or both what should be assumed before proceeding.,No,Developer,Education,Lack of communication between project team and end users,United States,5,Yes,Mostly on-site,Agile,Weekly,Weekly,Yes,Changes in requirements not communicated,Inconsistent requirements,We do not have enough time to carry out tasks,Lack of commitment to shared goals within project,Agile: we elicit and / or refine requirements in several iterations.,Interviews/ Analysis of existing documents/ Risk analyses/ Prototyping/ Design Thinking/ Lean Startup,Architectural constraints/ Development process aspects/ Formal properties of the system/ Functional properties of the system/ Goals/ Quality properties of the system/ Rules , business rules)/ Stakeholders/ System behaviour/ Technical interfaces/ Usage scenarios/ User interface(s)/ Internal or external constraints (e.g. laws)/ Acceptance criteria,Activity diagrams/ Class diagrams/ Sequence diagrams/ State machines/ Use case diagrams/ Use cases/ User stories/ Informal sketches / wireframes / mind maps,My project lead told me not to spend any time on documentation./ My colleagues told me not to waste any (more) time on documentation.
5,4,Ask the customer/end user/or both what should be assumed before proceeding.,Yes,Developer,Education,Communication flaws between the project and the customer,United States,5,No,Approximately half on-site and half from home,Agile,Almost daily,Weekly,No,Inconsistent requirements,Changes in requirements not communicated,Weak knowledge about customer's application domain,Targets are moving,Agile: we elicit and / or refine requirements in several iterations.,Analysis of existing documents/ Risk analyses/ (Requirements) Reuse databases and guidelines/ Design Thinking/ Observations,Architectural constraints/ Development process aspects/ Formal properties of the system/ Functional properties of the system/ Goals/ Quality properties of the system/ Stakeholders/ System behaviour/ Technical interfaces/ Usage scenarios/ User interface(s)/ Internal or external constraints  laws)/ Acceptance criteria,Use case diagrams/ Use cases/ User stories/ Acceptance Criteria (Given-When-Then),My project lead told me not to bother./ My project lead told me not to spend any time on documentation./ My project lead told me not to waste any (more) time on documentation.,Compatibility/ Maintainability/ Performance efficiency/ Portability/ Reliability/ Safety/ Security/ Usability/ External or internal constraints
5,5,Make a reasonable assumption myself and proceed.,Yes,Business Analyst,Enterprise resource planning,Communication flaws between the project and the customer,United Kingdom,7,No,Mostly from home,Agile,Bi-weekly,Weekly,No,Lack of communication between project team and end users,Targets are moving,Lack of commitment to shared goals within project,Unclear or unmeasurable non-functional requirements,Agile: we elicit and / or refine requirements in several iterations.,Prototyping/ Workshops and focus groups/ Experimentation with users,Architectural constraints/ Goals/ Stakeholders/ Internal or external constraints  laws)/ Acceptance criteria,User stories/ Acceptance Criteria (Given-When-Then),I didn't need to document it. I know it./ I knew colleagues would complain / hate / ridicule me.,Compatibility/ Portability/ Security
4,4,Ask the customer/end user/or both what should be assumed before proceeding.,Yes,Project Lead / Project Manager,Security,Communication flaws between the project and the customer,United Kingdom,4,No,Approximately half on-site and half from home,Hybrid,Almost daily,Monthly,No,Targets are moving,Underspecified requirements that are too abstract and allow for various interpretations,Unclear or unmeasurable non-functional requirements,Weak knowledge about customer's application domain,Agile: we elicit and / or refine requirements in several iterations.,Interviews/ Analysis of existing documents/ Prototyping/ Workshops and focus groups/ Design Thinking,Architectural constraints/ Goals/ Rules , business rules)/ System behaviour/ Technical interfaces/ Usage scenarios/ Acceptance criteria,Natural language / plain text/ Prototypes / user screens/ Sequence diagrams/ Structured lists of requirements/ Informal sketches / wireframes / mind maps,I didn't need to document it. I know it.
2,2,Ask the customer/end user/or both what should be assumed before proceeding.,Yes,Other (please specify),Finance,Inconsistent requirements,Turkey,6,Yes,Mostly from home,Agile,Almost daily,Monthly,Yes,Lack of communication between project team and end users,Insufficient support by project lead,Weak knowledge about customer's application domain,We do not have enough time to carry out tasks,Agile: we elicit and / or refine requirements in several iterations.,Interviews/ Analysis of existing documents/ Workshops and focus groups/ Design Thinking/ Experimentation with users,Architectural constraints/ Development process aspects/ System behaviour/ Technical interfaces/ Usage scenarios/ User interface(s)/ Acceptance criteria,Natural language / plain text/ Prototypes / user screens/ Use case diagrams/ Use cases,My project lead told me not to waste any (more) time on documentation.,Reliability/ Safety/ Security
4,5,Make a reasonable assumption myself and proceed.,Yes,Developer,Public transportation,We do not have enough time to carry out tasks,Germany,20,No,Mostly from home,Hybrid,Almost daily,Almost daily,No,Targets are moving,Gold plating (implementation of features without corresponding requirements),Changes in requirements not communicated,Underspecified requirements that are too abstract and allow for various interpretations,Agile: we elicit and / or refine requirements in several iterations.,Analysis of existing documents/ Prototyping/ Observations/ Usage data analysis (e.g. event logs)/ Experimentation with users,Functional properties of the system/ Goals/ Usage scenarios/ User interface(s),Class diagrams/ Natural language / plain text/ User stories/ Informal sketches / wireframes / mind maps,I didn't need to document it. I know it.,
4,2,Make a reasonable assumption myself and proceed.,Yes,Developer,Manufacturing,Communication flaws within the project team,Germany,8,No,Approximately half on-site and half from home,Hybrid,Almost daily,Monthly,No,Incomplete or hidden requirements,Weak knowledge about customer's application domain,Unclear or unmeasurable non-functional requirements,No use of standard format for documenting requirements,Agile: we elicit and / or refine requirements in several iterations.,Interviews/ Analysis of existing documents/ Design Thinking,Development process aspects/ Goals/ Usage scenarios/ Internal or external constraints  laws),Natural language / plain text/ Informal sketches / wireframes / mind maps,My project lead told me not to bother.,Compatibility/ Portability/ Usability/ External or internal constraints
5,5,Make a reasonable assumption myself and proceed.,I do not document requirements.,Product Owner,Finance,Communication flaws within the project team,Spain,13,Yes,Approximately half on-site and half from home,Agile,Almost daily,Monthly,Yes,Communication flaws between the project and the customer,Lack of communication between project team and end users,Changes in requirements not communicated,Requirements are not traceable,Agile: we elicit and / or refine requirements in several iterations.,Workshops and focus groups,Architectural constraints/ Development process aspects/ Functional properties of the system/ Goals/ Quality properties of the system/ Rules , business rules)/ Technical interfaces/ Usage scenarios/ User interface(s)/ Internal or external constraints (e.g. laws)/ Acceptance criteria,User stories,
3,5,Make a reasonable assumption myself and proceed.,Yes,Developer,Healthcare,Technically unfeasible requirements,Spain,8,Yes,Approximately half on-site and half from home,Rather plan-driven,Weekly,Never,Yes,Internal or external constraints are not considered,Our team's responsibilities are unclear,Changes in requirements not communicated,Requirements are not traceable,Waterfall: we elicit and / or refine requirements in a specifically dedicated project phase before proceeding to the next project phase.,Risk analyses/ Prototyping/ (Requirements) Reuse databases and guidelines/ Usage data analysis (e.g. event logs)/ Experimentation with users,Formal properties of the system/ Functional properties of the system/ System behaviour/ Usage scenarios/ Internal or external constraints  laws)/ Acceptance criteria,Activity diagrams/ Structured lists of requirements/ Use case diagrams,,Maintainability/ Performance efficiency/ Reliability/ Safety/ Security/ Usability/ External or internal constraints
2,2,Ask the customer/end user/or both what should be assumed before proceeding.,Yes,Architect,e-Government,Weak knowledge about customer's application domain,Switzerland,15,Yes,Mostly on-site,Plan-driven,Weekly,Monthly,Yes,Internal or external constraints are not considered,Underspecified requirements that are too abstract and allow for various interpretations,Unclear or unmeasurable non-functional requirements,Changes in requirements not communicated,Agile: we elicit and / or refine requirements in several iterations.,Interviews/ Analysis of existing documents/ Prototyping/ External experts,Architectural constraints/ Development process aspects/ Formal properties of the system/ Functional properties of the system/ Goals/ Quality properties of the system/ Stakeholders/ Technical interfaces/ User interface(s)/ Internal or external constraints  laws),Activity diagrams/ Business process models/ Class diagrams/ Prototypes / user screens/ Sequence diagrams/ State machines/ Use case diagrams/ User stories/ Informal sketches / wireframes / mind maps,My project lead told me not to waste any (more) time on documentation./ My colleagues told me not to waste any (more) time on documentation.,Maintainability/ Performance efficiency/ Reliability/ Security/ Usability
5,4,Make a reasonable assumption myself and proceed.,Yes,Developer,Energy,Weak access to customer needs and / or (internal) business information,Turkey,12,Yes,Approximately half on-site and half from home,Rather plan-driven,Almost daily,Bi-weekly,Yes,Lack of communication between project team and end users,Inconsistent requirements,Communication channels used in our project are ineffective,Targets are moving,Waterfall: we elicit and / or refine requirements in a specifically dedicated project phase before proceeding to the next project phase.,Interviews/ Analysis of existing documents/ Risk analyses/ Prototyping/ Workshops and focus groups/ Design Thinking/ External experts/ Observations,Architectural constraints/ Development process aspects/ Formal properties of the system/ Functional properties of the system/ Goals/ Technical interfaces,Activity diagrams/ Business process models/ Prototypes / user screens/ Sequence diagrams/ Structured lists of requirements,My colleagues told me not to spend any time on documentation./ My colleagues told me not to waste any (more) time on documentation.,Compatibility/ Maintainability/ Performance efficiency/ Reliability/ Safety/ Security
4,4,Ask the customer/end user/or both what should be assumed before proceeding.,No,Developer,Security,Targets are moving,United Kingdom,2,No,Approximately half on-site and half from home,Rather agile,Almost daily,Other (please specify),No,An important stakeholder is not represented in our project,No use of standard format for documenting requirements,Underspecified requirements that are too abstract and allow for various interpretations,Incomplete or hidden requirements,Agile: we elicit and / or refine requirements in several iterations.,Analysis of existing documents/ Risk analyses/ Prototyping/ Workshops and focus groups/ Design Thinking/ Observations/ Usage data analysis (e.g. event logs),Architectural constraints/ Development process aspects/ Functional properties of the system/ Rules , business rules)/ System behaviour/ Usage scenarios/ User interface(s),Natural language / plain text/ Prototypes / user screens/ Sequence diagrams/ State machines/ Use cases/ User stories/ Informal sketches / wireframes / mind maps,I didn't need to document it. I know it.
4,4,Ask the customer/end user/or both what should be assumed before proceeding.,Yes,Test Manager / Tester,Finance,Communication flaws within the project team,Netherlands,7,Yes,Almost completely from home,Agile,Almost daily,Weekly,Yes,Communication flaws between the project and the customer,Lack of communication between project team and end users,Communication channels used in our project are ineffective,Changes in requirements not communicated,Agile: we elicit and / or refine requirements in several iterations.,Analysis of existing documents/ Other,Functional properties of the system/ Quality properties of the system/ Rules , business rules)/ System behaviour/ Usage scenarios/ User interface(s)/ Internal or external constraints (e.g. laws)/ Acceptance criteria,Business process models/ Other (please specify),My project lead told me not to spend any time on documentation.
4,4,Ask the customer/end user/or both what should be assumed before proceeding.,Yes,Project Lead / Project Manager,Insurance,Targets are moving,United Kingdom,2,Yes,Mostly from home,Hybrid,Almost daily,Weekly,Yes,Underspecified requirements that are too abstract and allow for various interpretations,Weak knowledge about customer's application domain,Lack of communication between project team and end users,Incomplete or hidden requirements,Agile: we elicit and / or refine requirements in several iterations.,Analysis of existing documents/ Prototyping/ Workshops and focus groups,Architectural constraints/ Formal properties of the system/ Functional properties of the system/ Rules , business rules)/ System behaviour/ Technical interfaces/ Acceptance criteria,Use cases/ User stories/ Acceptance Criteria (Given-When-Then)/ Informal sketches / wireframes / mind maps,I didn't need to document it. I know it.
4,5,Ask the customer/end user/or both what should be assumed before proceeding.,Yes,Developer,Other (please specify),Communication flaws between the project and the customer,Spain,12,Yes,Approximately half on-site and half from home,Hybrid,Weekly,Weekly,Yes,Communication channels used in our project are ineffective,Incomplete or hidden requirements,Insufficient support by project lead,Requirements are not traceable,Waterfall: we elicit and / or refine requirements in a specifically dedicated project phase before proceeding to the next project phase.,Analysis of existing documents/ Workshops and focus groups/ Design Thinking/ Experimentation with users,Functional properties of the system/ Quality properties of the system/ Technical interfaces/ Acceptance criteria,Business process models/ Class diagrams/ Structured lists of requirements,My project lead told me not to bother.,Maintainability/ Performance efficiency/ Security/ Usability
4,4,Make a reasonable assumption myself and proceed.,Yes,Developer,Finance,Inconsistent requirements,United States,16,Yes,Almost completely from home,Hybrid,Almost daily,Weekly,Yes,Insufficient support by project lead,Changes in requirements not communicated,Targets are moving,We do not have enough time to carry out tasks,Agile: we elicit and / or refine requirements in several iterations.,Interviews/ Analysis of existing documents/ Prototyping/ Workshops and focus groups/ External experts/ Observations/ Usage data analysis (e.g. event logs),Architectural constraints/ Functional properties of the system/ Goals/ Rules , business rules)/ Stakeholders/ Technical interfaces/ Internal or external constraints (e.g. laws),Activity diagrams/ Sequence diagrams/ Use cases/ User stories/ Informal sketches / wireframes / mind maps,I didn't need to document it. I know it./ My project lead told me not to bother./ My colleagues told me not to bother.
4,4,Ask the customer/end user/or both what should be assumed before proceeding.,I do not document requirements.,Developer,Other (please specify),Incomplete or hidden requirements,Turkey,51,No,Almost completely from home,Rather agile,Almost daily,I don't know,No,Unclear or unmeasurable non-functional requirements,Weak access to customer needs and / or (internal) business information,No use of standard format for documenting requirements,Gold plating (implementation of features without corresponding requirements),Agile: we elicit and / or refine requirements in several iterations.,Interviews/ Prototyping/ (Requirements) Reuse databases and guidelines/ Design Thinking/ Observations,Architectural constraints/ Formal properties of the system/ Functional properties of the system/ Goals/ Quality properties of the system/ Rules , business rules)/ System behaviour/ Technical interfaces/ Usage scenarios/ Acceptance criteria,Class diagrams/ Natural language / plain text/ Prototypes / user screens/ Structured lists of requirements/ User stories/ Acceptance Criteria (Given-When-Then)/ Informal sketches / wireframes / mind maps,My colleagues told me not to waste any (more) time on documentation.
